Casilla,Visitas,Probabilidad (%)
Salida,72,2.823529411764706
Avenida Mediterráneo,39,1.5294117647058825
Arca Comunal 1,53,2.0784313725490193
Avenida Báltica,46,1.803921568627451
Impuesto sobre Ingresos,55,2.156862745098039
Ferrocarril Reading,69,2.705882352941176
Avenida Oriental,49,1.9215686274509802
Suerte 1,43,1.6862745098039214
Avenida Vermont,54,2.1176470588235294
Avenida Connecticut,43,1.6862745098039214
Cárcel / Solo Visitas,198,7.764705882352942
Plaza San Carlos,47,1.843137254901961
Compañía de Electricidad,71,2.784313725490196
Avenida Estados,72,2.823529411764706
Avenida Virginia,47,1.843137254901961
Ferrocarril de Pensilvania,78,3.058823529411765
Plaza Santiago,70,2.7450980392156863
Arca Comunal 2,89,3.4901960784313726
Avenida Tennessee,69,2.705882352941176
Avenida Nueva York,74,2.9019607843137254
Parada Libre,69,2.705882352941176
Avenida Kentucky,72,2.823529411764706
Suerte 2,45,1.7647058823529411
Avenida Indiana,66,2.588235294117647
Avenida Illinois,61,2.392156862745098
Ferrocarril B. & O.,57,2.235294117647059
Avenida Atlántico,67,2.627450980392157
Avenida Ventnor,55,2.156862745098039
Obras de Agua Potable,76,2.980392156862745
Jardines Marvin,60,2.3529411764705883
Váyase a la Cárcel,53,2.0784313725490193
Avenida Pacífico,64,2.5098039215686274
Avenida Carolina del Norte,57,2.235294117647059
Arca Comunal 3,52,2.03921568627451
Avenida Pensilvania,63,2.4705882352941173
Ferrocarril Short Line,55,2.156862745098039
Suerte 3,44,1.7254901960784312
Plaza Parque,59,2.313725490196078
Impuesto de Lujo,45,1.7647058823529411
Muelle,92,3.607843137254902
